"iso3c","sciname","common_name","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish"
"CHN","engraulis japonicus","japanese anchovy","yes","no",1,"Chiu 2013",NA,"engraulis japonicus","yes","no"
"CHN","engraulis encrasicolus","european anchovy","yes","no",1,"Chiu 2013",NA,"engraulis encrasicolus","yes","no"
