"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"doederleinia berycoides","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Doederleinia berycoides","yes","yes","doederleinia",NA,"acropomatidae","acropomatiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous demersal fishes","blackthroat seaperch"
"acropoma hanedai","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acropoma hanedai","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"haneda's lightfish"
"ostorhinchus semilineatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ostorhinchus semilineatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"semi-lined cardinalfish"
"mene maculata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Mene maculata","yes","yes","mene",NA,"menidae","carangaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","moonfish"
"photopectoralis bindus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Photopectoralis bindus","yes","yes","photopectoralis","gazzinae","leiognathidae","acanthuriformes","actinopteri","osteichthyes","chordata","animalia",NA,"orangefin ponyfish"
"secutor ruconius","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Secutor ruconius","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ruconius scad"
"equulites lineolatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Equulites lineolatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped scad"
"leiognathus brevirostris","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Leiognathus brevirostris","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"short-nosed scad"
"leiognathus berbis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Leiognathus berbis","yes","yes","leiognathus","leiognathinae","leiognathidae","acanthuriformes","actinopteri","osteichthyes","chordata","animalia",NA,"berbis ponyfish"
"gerres erythrourus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gerres erythrourus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"red-tailed mojarra"
"chaetodon modestus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Chaetodon modestus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"modest butterflyfish"
"heniochus chrysostomus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Heniochus chrysostomus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"single-spined heniochus"
"callionymus octostigmatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callionymus octostigmatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eight-spotted callionymus"
"glossogobius olivaceus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Glossogobius olivaceus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"olive goby"
"trypauchen vagina","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Trypauchen vagina","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"vagina goby"
"amblychaeturichthys hexanema","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Amblychaeturichthys hexanema","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"six-threaded goby"
"chaeturichthys stigmatias","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Chaeturichthys stigmatias","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"stigmatias goby"
"japonolaeops dentatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Japonolaeops dentatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese left-eyed flounder"
"samaris cristatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Samaris cristatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crest flounder"
"aesopia cornuta","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Aesopia cornuta","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"horned sole"
"solea ovata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Solea ovata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"oval sole"
"cynoglossus puncticeps","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus puncticeps","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"punctate tongue sole"
"scoliodon macrorhynchos","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Scoliodon macrorhynchos","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigmouth spadenose shark"
"okamejei boesemani","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Okamejei boesemani","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"boeseman's skate"
"moringua macrocephalus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Moringua macrocephalus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bigheaded eel"
"dysomma melanurum","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Dysomma melanurum","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black-tailed eel"
"ophichthus apicalis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ophichthus apicalis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sharp-nosed eel"
"gnathophis heterognathos","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gnathophis heterognathos","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"heterognathous eel"
"gnathophis nystromi","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gnathophis nystromi","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"nystrom's eel"
"ariosoma anago","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ariosoma anago","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"common eel"
"rhynchoconger ectenurus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Rhynchoconger ectenurus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black-tailed conger"
"saurenchelys fierasfer","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Saurenchelys fierasfer","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"line-tailed eel"
"ilisha melastoma","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ilisha melastoma","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"blackmouth ilisha"
"antennarius striatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Antennarius striatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped frogfish"
"oedalechilus labeo","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oedalechilus labeo","yes","yes","oedalechilus",NA,"mugilidae","mugiliformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","boxlip mullet"
"dendrochirus bellus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Dendrochirus bellus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"beautiful shortfin scad"
"erisphex simplex","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Erisphex simplex","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"smooth erisphex"
"erisphex pottii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Erisphex pottii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pott's erisphex"
"aploactis aspera","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Aploactis aspera","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rough scad"
"lepidotrigla alata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Lepidotrigla alata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"alata lepidotrigla"
"cociella crocodilus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cociella crocodilus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"crocodile eel"
"hoplichthys langsdorfii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Hoplichthys langsdorfii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"langsdorff's hoplichthys"
"pseudanthias rubrizonatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pseudanthias rubrizonatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"rubrizonatus anthias"
"apogon quadrifasciatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Apogon quadrifasciatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"four-lined apogon"
"ostorhinchus pleuron","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ostorhinchus pleuron","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lateral-banded cardinalfish"
"ostorhinchus kiensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ostorhinchus kiensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"midline cardinalfish"
"ostorhinchus fasciatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Ostorhinchus fasciatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"broad-barred cardinalfish"
"jaydia carinatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Jaydia carinatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"one-spotted snapper"
"jaydia ellioti","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Jaydia ellioti","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"black-edged snapper"
"jaydia lineata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Jaydia lineata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fine-striped snapper"
"equulites rivulatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Equulites rivulatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"barred mackerel"
"gerres japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Gerres japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese silver perch"
"johnius sp.","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Johnius sp.","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"taiwan callionymus*"
"cepola schlegelii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cepola schlegelii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"indian spiny-headed redfish"
"suezichthys gracilis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Suezichthys gracilis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"elongated suezichthys"
"teixeirichthys jordani","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Teixeirichthys jordani","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"jordan's teixeirichthys"
"champsodon atridorsalis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Champsodon atridorsalis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"curved-back champsodon"
"parapercis sexfasciata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parapercis sexfasciata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"six-banded parapercis"
"parapercis ommatura","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parapercis ommatura","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eye-spotted parapercis"
"bembrops curvatura","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Bembrops curvatura","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"curved bembrops"
"bleekeria viridianguilla","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Bleekeria viridianguilla","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"green bleekeria"
"uranoscopus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Uranoscopus japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese stargazer"
"uranoscopus oligolepis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Uranoscopus oligolepis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"few-scaled stargazer"
"uranoscopus chinensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Uranoscopus chinensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chinese stargazer"
"xenocephalus elongatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Xenocephalus elongatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue stargazer"
"petroscirtes mitratus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Petroscirtes mitratus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"jumping rockblenny"
"pholis fangi","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pholis fangi","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"fang's pholis"
"pholis nebulosa","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pholis nebulosa","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"cloudy pholis"
"callioonymus olidus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callioonymus olidus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"odorous callionymus"
"callionymus rivatoni","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callionymus rivatoni","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"li's callionymus"
"diplogrammus xenicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Diplogrammus xenicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"strange double-line callionymus"
"callionymus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callionymus japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese callionymus"
"callionymus virgis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callionymus virgis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"silkfin goby"
"callionymus curvicornis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Callionymus curvicornis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"curved-spined goby"
"butis koilomatodon","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Butis koilomatodon","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sawspine mudskipper"
"acentrogobius caninus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acentrogobius caninus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"canine-spined goby"
"oxyurichthys papuensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oxyurichthys papuensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"papua goby"
"parachaeturichthys polynema","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parachaeturichthys polynema","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"many-bearded parachthys"
"synechogobius ommaturus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Synechogobius ommaturus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spotted spiny goby"
"odontamblyopus lacepedii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Odontamblyopus lacepedii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lacepede's wolf goby"
"myersina filifer","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Myersina filifer","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"long-finned myersina"
"tridentiger barbatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Tridentiger barbatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"whiskered tridentiger"
"tridentiger trigonocephalus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Tridentiger trigonocephalus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"patterned tridentiger"
"taenioides cirratus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Taenioides cirratus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"whiskered eel goby"
"crossorhombus azureus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Crossorhombus azureus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"blue crossorhombus"
"psettina filimanus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Psettina filimanus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"silk-fingered psettina"
"arnoglossus tenuis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Arnoglossus tenuis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"sheep's tongue flatfish"
"aseraggodes kobensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Aseraggodes kobensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"brown-spotted scaldfish"
"cynoglossus sibogae","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus sibogae","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"western tongue sole"
"cynoglossus gracilis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Cynoglossus gracilis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"narrow-bodied tongue sole"
"paramonacanthus sulcatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Paramonacanthus sulcatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"velvet-lined pufferfish"
"takifugu alboplumbeus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Takifugu alboplumbeus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"lead-spotted pufferfish"
"takifugu oblongus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Takifugu oblongus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped pufferfish"
"takifugu xanthopterus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Takifugu xanthopterus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"yellowfin pufferfish"
"takifugu niphobles","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Takifugu niphobles","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"starry pufferfish"
"lagocephalus wheeleri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Lagocephalus wheeleri","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"wheeler's rabbitfish"
"canthigaster rivulata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Canthigaster rivulata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"watermark pygmy pufferfish"
"miyakea nepa","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Miyakea nepa","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"long-tailed mantis shrimp"
"oratosquilla oratoria","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oratosquilla oratoria","yes","yes","oratosquilla",NA,"squillidae","stomatopoda","malacostraca",NA,"arthropoda","animalia",NA,"japanese squillid mantis shrimp"
"oratosquillina interrupta","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oratosquillina interrupta","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"broken-back shrimp"
"oratosquillina asiatica","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Oratosquillina asiatica","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"asian shrimp"
"lophosquilla costata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Lophosquilla costata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spine-backed shrimp"
"anchisquilla fasciata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Anchisquilla fasciata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"striped-tail shrimp"
"solenocera crassicornis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Solenocera crassicornis","yes","yes","solenocera",NA,"solenoceridae","decapoda","malacostraca",NA,"arthropoda","animalia",NA,"coastal mud shrimp"
"metapenaeus joyneri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Metapenaeus joyneri","yes","yes","metapenaeus",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia","Shrimps, prawns","shiba shrimp"
"parapenaeopsis hardwickii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parapenaeopsis hardwickii","yes","yes","parapenaeopsis",NA,"penaeidae","decapoda","malacostraca",NA,"arthropoda","animalia",NA,"spear shrimp"
"parapenaeopsis tenella","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parapenaeopsis tenella","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"elegant pseudocycus shrimp"
"parapenaeopsis cornuta","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Parapenaeopsis cornuta","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"horned pseudocycus shrimp"
"atypopenaeus stenodactylus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Atypopenaeus stenodactylus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"flat-footed pseudocycus shrimp"
"trachypenaeus curvirostris","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Trachypenaeus curvirostris","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"eagle-clawed shrimp"
"metapenaeopsis barbata","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Metapenaeopsis barbata","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"bearded pseudocycus shrimp"
"acetes chinensis","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Acetes chinensis","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"chinese hairy shrimp"
"alpheus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Alpheus japonicus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese mantis shrimp"
"alpheus distinguendus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Alpheus distinguendus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"distinct mantis shrimp"
"alpheus brevicristatus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Alpheus brevicristatus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"short-spined mantis shrimp"
"exopalaemon carinicouda","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Exopalaemon carinicouda","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spine-tailed white shrimp"
"exopalaemon annandalei","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Exopalaemon annandalei","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"annes' white shrimp"
"palaemon tenuidactylus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Palaemon tenuidactylus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"slender long-arm shrimp"
"palaemon pacificus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Palaemon pacificus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"pacific long-arm shrimp"
"palaemon gravieri","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Palaemon gravieri","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"ge's long-arm shrimp"
