"sciname","country","iso3c","wholefish","trimmings","trim_prop","data_source_feed","data_source_fao_area_country","feed_report_spp_name","capture","trash_fish","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap_group","common_name"
"sebastiscus marmoratus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sebastiscus marmoratus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"marbled rockfish"
"chelidonichthys spinosus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Chelidonichthys spinosus","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"spiny armored gurnard"
"platycephalus indicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Platycephalus indicus","yes","yes","platycephalus",NA,"platycephalidae","perciformes/scorpaenoidei","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","bartail flathead"
"lateolabrax japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Lateolabrax japonicus","yes","yes","lateolabrax",NA,"lateolabracidae","acropomatiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","japanese seabass"
"pristigenys niphonia","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Pristigenys niphonia","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese sawcheek"
"sillago sihama","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sillago sihama","yes","yes","sillago",NA,"sillaginidae","eupercaria/misc","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous coastal fishes","silver sillago"
"sillago japonica","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Sillago japonica","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"japanese sillago"
"branchiostegus japonicus","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Branchiostegus japonicus","yes","yes","branchiostegus",NA,"latilidae","eupercaria/misc","actinopteri","osteichthyes","chordata","animalia",NA,"horsehead tilefish"
"alepes kleinii","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Alepes kleinii","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"kleins ponyfish"
"alepes djedaba","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Alepes djedaba","yes","yes","alepes","caranginae","carangidae","carangiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","shrimp scad"
"decapterus maruadsi","China","CHN","yes","no",0,"Greenpeace East Asia 2017",NA,"Decapterus maruadsi","yes","yes","decapterus","caranginae","carangidae","carangiformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes","japanese scad"
