"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","genus","subfamily","family","order","class","superclass","phylum","kingdom","isscaap"
"mallotus villosus","capelin",27,"Norway","NOR","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"mallotus villosus","capelin",27,"Russian Federation","RUS","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"mallotus villosus","capelin",27,"Spain","ESP","yes","yes",0.6,"yes","biomar","FishStat capture","Capelin","mallotus",NA,"osmeridae","osmeriformes","actinopterygii","osteichthyes","chordata","animalia","Miscellaneous pelagic fishes"
"thunnus obesus","bigeye tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus tonggol","longtail tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus maccoyii","southern bluefin tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"Australia","AUS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Chile","CHL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"China","CHN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Colombia","COL","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Ecuador","ECU","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"El Salvador","SLV","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"France","FRA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","auxis","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"auxis thazard","frigate tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","auxis","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus tonggol","longtail tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","auxis","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"gymnosarda unicolor","dogtooth tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","gymnosarda","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"auxis thazard","frigate tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","auxis","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus tonggol","longtail tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus maccoyii","southern bluefin tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus maccoyii","southern bluefin tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Japan","JPN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus maccoyii","southern bluefin tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Korea, Republic of","KOR","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"auxis thazard","frigate tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","auxis","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus tonggol","longtail tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",57,"Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Mexico","MEX","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus albacares","yellowfin tuna",87,"Nicaragua","NIC","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus thynnus","atlantic bluefin tuna",57,"unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"thunnus obesus","bigeye tuna",57,"unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","thunnus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
"katsuwonus pelamis","skipjack tuna",57,"unknown","unknown","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.","katsuwonus","scombrinae","scombridae","scombriformes","actinopterygii","osteichthyes","chordata","animalia","Tunas, bonitos, billfishes"
