"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c"
"Strangomera bentincki","Araucanian herring","Chile","yes","no",0,0,3884.614934,"cargill",NA,"Araucanian herring","CHL"
"Theragra chalcogramma","Alaska pollock","U.S.","no","yes",1,3718.537517,0,"cargill",NA,"Alaska pollock","USA"
"Thunnus albacares","Yellowfin tuna","Ecuador","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","ECU"
"Thunnus albacares","Yellowfin tuna","Mexico","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","MEX"
"Thunnus albacares","Yellowfin tuna","Peru","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","PER"
"Thunnus albacares","Yellowfin tuna","Philippines","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","PHL"
"Thunnus albacares","Yellowfin tuna","South Africa","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","ZAF"
"Thunnus albacares","Yellowfin tuna","Thailand","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","THA"
"Thunnus albacares","Yellowfin tuna","Vietnam","no","yes",1,6288.453317,0,"cargill",NA,"Yellowfin tuna","VNM"
"Trachurus murphyi","Chilean jack mackerel","Chile","yes","yes",0.452266405900815,3056.957222,3702.238646,"cargill",NA,"Chilean jack mackerel","CHL"
"Trachurus murphyi","Chilean jack mackerel","Ecuador","no","yes",1,1077.173512,0,"cargill",NA,"Chilean jack mackerel","ECU"
"Trachurus murphyi","Chilean jack mackerel","Peru","no","yes",1,1077.173512,0,"cargill",NA,"Chilean jack mackerel","PER"
"Trisopterus esmarkii","Norway pout","Denmark","yes","no",0,0,1933.188653,"cargill",NA,"Norway pout","DNK"
"Trisopterus esmarkii","Norway pout","Norway","yes","no",0,0,1933.188653,"cargill",NA,"Norway pout","NOR"
NA,"Miscellaneous species","Argentina","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","ARG"
NA,"Miscellaneous species","Brazil","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","BRA"
NA,"Miscellaneous species","Chile","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","CHL"
NA,"Miscellaneous species","China","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","CHN"
NA,"Miscellaneous species","Denmark","yes","no",0,0,4997.110291,"cargill",NA,"Miscellaneous species","DNK"
NA,"Miscellaneous species","Ecuador","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","ECU"
NA,"Miscellaneous species","India","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","IND"
NA,"Miscellaneous species","Ireland","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","IRL"
NA,"Miscellaneous species","Mexico","yes","yes",0.439368602520397,3916.251168,4997.110291,"cargill",NA,"Miscellaneous species","MEX"
NA,"Miscellaneous species","Morocco","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","MAR"
NA,"Miscellaneous species","Norway","yes","yes",0.173908185119408,3916.251168,18602.822131,"cargill",NA,"Miscellaneous species","NOR"
NA,"Miscellaneous species","Other","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species",NA
NA,"Miscellaneous species","Philippines","no","yes",1,3916.251168,0,"cargill",NA,"Miscellaneous species","PHL"
NA,"Miscellaneous species","South Africa","yes","no",0,0,4997.110291,"cargill",NA,"Miscellaneous species","ZAF"
NA,"Miscellaneous species","Thailand","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","THA"
NA,"Miscellaneous species","U.S.","yes","yes",0.223505275419881,3916.251168,13605.71184,"cargill",NA,"Miscellaneous species","USA"
NA,"Miscellaneous species","Vietnam","yes","no",0,0,13605.71184,"cargill",NA,"Miscellaneous species","VNM"
NA,"Mixed whitefish*","Denmark","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","DNK"
NA,"Mixed whitefish*","Iceland","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","ISL"
NA,"Mixed whitefish*","Ireland","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","IRL"
NA,"Mixed whitefish*","Morocco","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","MAR"
NA,"Mixed whitefish*","Norway","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","NOR"
NA,"Mixed whitefish*","U.K.","no","yes",1,12166.99392,0,"cargill",NA,"Mixed whitefish*","GBR"
