"sciname","common_name","fao_fishing_area","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"DNK"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ECU"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"ESP"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"FRA"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GBR"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"GRC"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"NOR"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"TUR"
"Anchoa nasus","longnose anchovy",87,"Peru","PER","yes","yes",0.11,"yes","biomar","FishStat capture","Anchovy",1430.33,11572.67,"VNM"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis rochei","bullet tuna",57,"India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis rochei","bullet tuna",57,"Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis rochei","bullet tuna",57,"Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR"
"Auxis rochei","bullet tuna",87,"Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM"
