"common_name","country","iso3c","wholefish","trimmings","trim_prop","capture","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trimmings_tonnes","wholefish_tonnes","importer_iso3c","sciname","trash_fish"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis rochei","no"
"bullet tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis rochei","no"
"bullet tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis rochei","no"
"bullet tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis rochei","no"
"bullet tuna","Peru","PER","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis rochei","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis thazard","no"
"frigate tuna","India","IND","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis thazard","no"
"frigate tuna","Indonesia","IDN","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis thazard","no"
"frigate tuna","Malaysia","MYS","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"FRA","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GBR","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"GRC","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"NOR","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"TUR","auxis thazard","no"
"frigate tuna","Sri Lanka","LKA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"VNM","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"AUS","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHL","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CHN","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"CRI","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"DNK","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ECU","auxis thazard","no"
"frigate tuna","Thailand","THA","no","yes",1,"yes","biomar","FishStat capture","Tuna Spp.",18375,0,"ESP","auxis thazard","no"
