"country","sciname","aquaculture","trim_prop","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Costa Rica","farfantepenaeus californiensis","no",1,"yellowleg shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","CRI"
"Costa Rica","istiophoridae","no",1,"marlins,sailfishes,etc. nei","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","istiophorus platypterus","no",1,"indo-pacific sailfish","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","kajikia audax","no",1,"striped marlin","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","katsuwonus pelamis","no",1,"skipjack tuna","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","litopenaeus vannamei","no",1,"whiteleg shrimp","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","CRI"
"Costa Rica","lutjanidae","no",1,"snappers, jobfishes nei","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","lutjanus guttatus","no",1,"spotted rose snapper","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","penaeidae","no",1,"penaeid shrimps nei","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","CRI"
"Costa Rica","penaeus","no",1,"penaeus shrimps nei","no","yes","Shea et al. 2025",NA,"shrimp","no","yes","CRI"
"Costa Rica","perciformes","no",1,"tuna-like fishes nei","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","serranidae","no",1,"Groupers, seabasses nei","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Costa Rica","xiphias gladius","no",1,"swordfish","no","yes","Shea et al. 2025",NA,"fish","no","yes","CRI"
"Denmark","ammodytes marinus","no",0,"sandeel","yes","no","Shea et al. 2025",NA,"sandeel","no","yes","DNK"
"Denmark","capros aper","no",0,"boarfish","yes","no","Shea et al. 2025",NA,"boarfish","no","yes","DNK"
"Denmark","clupea harengus","no",0.5,"herring","no","yes","Shea et al. 2025",NA,"herring","no","yes","DNK"
"Denmark","clupea harengus","no",0.5,"herring","yes","no","Shea et al. 2025",NA,"herring","no","yes","DNK"
"Denmark","gadus morhua","no",1,"cod","no","yes","Shea et al. 2025",NA,"cod","no","yes","DNK"
"Denmark","melanogrammus aeglefinus","no",1,"haddock","no","yes","Shea et al. 2025",NA,"haddock","no","yes","DNK"
"Denmark","merlangius merlangus","no",1,"whiting","no","yes","Shea et al. 2025",NA,"whiting","no","yes","DNK"
"Denmark","merluccius merluccius","no",1,"hake","no","yes","Shea et al. 2025",NA,"hake","no","yes","DNK"
"Denmark","microstomus kitt","no",1,"lemon sole","no","yes","Shea et al. 2025",NA,"lemon sole","no","yes","DNK"
"Denmark","oncorhynchus mykiss","yes",1,"trout","no","yes","Shea et al. 2025",NA,"trout","no","no","DNK"
"Denmark","platichthys flesus","no",1,"flounder","no","yes","Shea et al. 2025",NA,"flounder","no","yes","DNK"
"Denmark","pleuronectes platessa","no",1,"plaice","no","yes","Shea et al. 2025",NA,"plaice","no","yes","DNK"
"Denmark","pollachius virens","no",1,"saithe","no","yes","Shea et al. 2025",NA,"saithe","no","yes","DNK"
"Denmark","pollachius virens","no",1,"pollock","no","yes","Shea et al. 2025",NA,"pollock","no","yes","DNK"
"Denmark","salmo salar","yes",1,"salmon","no","yes","Shea et al. 2025",NA,"salmon","no","no","DNK"
"Denmark","sardina pilchardus","no",1,"sardine","no","yes","Shea et al. 2025",NA,"sardine","no","yes","DNK"
"Denmark","scomber scombrus","no",1,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","DNK"
"Denmark","sebastes viviparus","no",1,"rosefish","no","yes","Shea et al. 2025",NA,"rosefish","no","yes","DNK"
"Denmark","sprattus sprattus","no",0,"sprat","yes","no","Shea et al. 2025",NA,"sprat","no","yes","DNK"
"Denmark","trachinus draco","no",1,"greater weever","no","yes","Shea et al. 2025",NA,"greater weever","no","yes","DNK"
"Denmark","trisopterus esmarkii","no",0,"norway pout","yes","no","Shea et al. 2025",NA,"norway pout","no","yes","DNK"
"Ecuador","anchoa nasus","no",0,"longnose anchovy","yes","no","Shea et al. 2025",NA,"longnose anchovy","no","yes","ECU"
"Ecuador","auxis","no",1,"frigate and bullet tunas","no","yes","Shea et al. 2025",NA,"tuna","no","yes","ECU"
"Ecuador","auxis brachydorax","no",0,"frigate tuna","yes","no","Shea et al. 2025",NA,"frigate tuna","no","yes","ECU"
"Ecuador","auxis rochei","no",1,"bullet tuna","no","yes","Shea et al. 2025",NA,"bullet tuna","no","yes","ECU"
"Ecuador","auxis thazard","no",1,"frigate tuna","no","yes","Shea et al. 2025",NA,"frigate tuna","no","yes","ECU"
"Ecuador","cetengraulis mysticetus","no",0,"pacific anchoveta","yes","no","Shea et al. 2025",NA,"pacific anchoveta","no","yes","ECU"
"Ecuador","coryphaena hippurus","no",1,"common dolphinfish","no","yes","Shea et al. 2025",NA,"common dolphinfish","no","yes","ECU"
"Ecuador","decapterus macrosoma","no",0,"shortfin scad","yes","no","Shea et al. 2025",NA,"shortfin scad","no","yes","ECU"
"Ecuador","etrumeus whiteheadi","no",0.666666666666667,"red eye round herring","no","yes","Shea et al. 2025",NA,"red eye round herring","no","yes","ECU"
"Ecuador","etrumeus whiteheadi","no",0.666666666666667,"red-eye round herring","no","yes","Shea et al. 2025",NA,"red-eye round herring","no","yes","ECU"
"Ecuador","etrumeus whiteheadi","no",0.666666666666667,"round herring","yes","no","Shea et al. 2025",NA,"round herring","no","yes","ECU"
"Ecuador","euthynnus lineatus","no",1,"black skipjack","no","yes","Shea et al. 2025",NA,"black skipjack","no","yes","ECU"
"Ecuador","haemulopsis axillaris","no",1,"roncador","no","yes","Shea et al. 2025",NA,"roncador","no","yes","ECU"
"Ecuador","katsuwonus pelamis","no",1,"skipjack tuna","no","yes","Shea et al. 2025",NA,"tuna, skipjack tuna","no","yes","ECU"
"Ecuador","maemulpsis axillaris","no",0,"roncador","yes","no","Shea et al. 2025",NA,"roncador","no","yes","ECU"
"Ecuador","merluccius gayi","no",1,"south pacific hake","no","yes","Shea et al. 2025",NA,"south pacific hake","no","yes","ECU"
"Ecuador","opisthonema libertate","no",1,"pacific thread herring","no","yes","Shea et al. 2025",NA,"pacific thread herring","no","yes","ECU"
"Ecuador","peprilus medius","no",0.5,"pacific harvestfish","no","yes","Shea et al. 2025",NA,"pacific harvestfish","no","yes","ECU"
"Ecuador","peprilus medius","no",0.5,"pacific harvestfish","yes","no","Shea et al. 2025",NA,"pacific harvestfish","no","yes","ECU"
"Ecuador","perciformes","no",1,"tuna-like fishes nei","no","yes","Shea et al. 2025",NA,"tuna","no","yes","ECU"
"Ecuador","scomber japonicus","no",0.5,"pacific chub mackerel","no","yes","Shea et al. 2025",NA,"pacific chub mackerel","no","yes","ECU"
"Ecuador","scomber japonicus","no",0.5,"pacific chub mackerel","yes","no","Shea et al. 2025",NA,"pacific chub mackerel","no","yes","ECU"
"Ecuador","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"tuna, yellowfin tuna","no","yes","ECU"
"Ecuador","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"tuna, bigeye tuna","no","yes","ECU"
"Ecuador","thunnus orientalis","no",1,"pacific bluefin tuna","no","yes","Shea et al. 2025",NA,"tuna","no","yes","ECU"
"Ecuador","trachurus murphyi","no",0,"jack mackerel","yes","no","Shea et al. 2025",NA,"jack mackerel","no","yes","ECU"
"Ecuador","trichiurus lepturus","no",0,"largehead hairtail","yes","no","Shea et al. 2025",NA,"largehead hairtail","no","yes","ECU"
"ElSalvador","katsuwonus pelamis","no",1,"skipjack tuna","no","yes","Shea et al. 2025",NA,"skipjack tuna","no","yes","SLV"
"ElSalvador","thunnus alalunga","no",1,"albacore tuna","no","yes","Shea et al. 2025",NA,"albacore tuna","no","yes","SLV"
"ElSalvador","thunnus albacares","no",1,"yellowfin tuna","no","yes","Shea et al. 2025",NA,"yellowfin tuna","no","yes","SLV"
"ElSalvador","thunnus obesus","no",1,"bigeye tuna","no","yes","Shea et al. 2025",NA,"bigeye tuna","no","yes","SLV"
"Estonia","clupea harengus","no",0.5,"herring","yes","no","Shea et al. 2025",NA,"herring","no","yes","EST"
"Estonia","clupea harengus","no",0.5,"herring","no","yes","Shea et al. 2025",NA,"herring","no","yes","EST"
"Estonia","sprattus sprattus","no",0.5,"baltic sprat","yes","no","Shea et al. 2025",NA,"baltic sprat","no","yes","EST"
"Estonia","sprattus sprattus","no",0.5,"baltic sprat","no","yes","Shea et al. 2025",NA,"baltic sprat","no","yes","EST"
"Faroe Islands","clupea harengus","no",1,"herring","no","yes","Shea et al. 2025",NA,"herring","no","yes","FRO"
"Faroe Islands","salmo salar","yes",1,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","FRO"
"Faroe Islands","scomber scombrus","no",1,"mackerel","no","yes","Shea et al. 2025",NA,"mackerel","no","yes","FRO"
"Finland","clupea harengus","no",0,"herring","yes","no","Shea et al. 2025",NA,"herring","no","yes","FIN"
"Finland","sprattus sprattus","no",0,"baltic sprat","yes","no","Shea et al. 2025",NA,"baltic sprat","no","yes","FIN"
"France","aphanopus carbo","no",1,"black scabbardfish","no","yes","Shea et al. 2025",NA,"black scabbardfish","no","yes","FRA"
"France","clupea harengus","no",0.5,"herring","yes","no","Shea et al. 2025",NA,"herring","no","yes","FRA"
"France","clupea harengus","no",0.5,"herring","no","yes","Shea et al. 2025",NA,"herring","no","yes","FRA"
"France","engraulis ringens","no",0,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","FRA"
"France","gadus morhua","no",1,"cod","no","yes","Shea et al. 2025",NA,"cod","no","yes","FRA"
"France","loligo vulgaris","no",1,"squid","no","yes","Shea et al. 2025",NA,"squid","no","yes","FRA"
"France","lophius piscatorius","no",1,"anglerfish","no","yes","Shea et al. 2025",NA,"anglerfish","no","yes","FRA"
"France","melanogrammus aeglefinus","no",1,"haddock","no","yes","Shea et al. 2025",NA,"haddock","no","yes","FRA"
"France","merlangius merlangus","no",1,"whiting","no","yes","Shea et al. 2025",NA,"whiting","no","yes","FRA"
