"source_country_iso3c","source_country_name","importer_iso3c","sciname","common_name","wholefish","trimmings","trim_prop","data_source_feed","feed_report_spp_name"
"IND","India","VNM","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","AUS","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CHL","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CHN","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CRI","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","DNK","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","ECU","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","ESP","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","FRA","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","GBR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","GRC","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","NOR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","TUR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","VNM","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","AUS","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CHL","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CHN","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CRI","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","DNK","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","ECU","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","ESP","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","FRA","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","GBR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","GRC","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","NOR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","TUR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","VNM","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","AUS","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","CHL","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","CHN","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","CRI","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","DNK","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","ECU","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","ESP","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","FRA","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","GBR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","GRC","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","NOR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","TUR","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"PER","Peru","VNM","auxis rochei","bullet tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","AUS","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CHL","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CHN","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","CRI","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","DNK","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","ECU","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","ESP","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","FRA","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","GBR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","GRC","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","NOR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","TUR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IND","India","VNM","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","AUS","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CHL","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CHN","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","CRI","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","DNK","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","ECU","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","ESP","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","FRA","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","GBR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","GRC","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","NOR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","TUR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"IDN","Indonesia","VNM","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","AUS","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","CHL","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","CHN","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","CRI","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","DNK","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","ECU","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","ESP","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","FRA","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","GBR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","GRC","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","NOR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","TUR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MYS","Malaysia","VNM","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","AUS","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CHL","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CHN","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","CRI","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","DNK","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","ECU","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","ESP","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","FRA","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","GBR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","GRC","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","NOR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","TUR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"LKA","Sri Lanka","VNM","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","AUS","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","CHL","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","CHN","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","CRI","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","DNK","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","ECU","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","ESP","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","FRA","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","GBR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","GRC","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","NOR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","TUR","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"THA","Thailand","VNM","auxis thazard","frigate tuna","no","yes",1,"biomar","Tuna Spp."
"MEX","Mexico","AUS","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","CHL","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","CHN","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","CRI","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","DNK","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","ECU","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","ESP","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","FRA","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","GBR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","GRC","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","NOR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","TUR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"MEX","Mexico","VNM","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","AUS","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","CHL","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","CHN","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","CRI","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","DNK","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","ECU","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","ESP","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","FRA","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","GBR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","GRC","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","NOR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","TUR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PAN","Panama","VNM","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","AUS","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","CHL","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","CHN","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","CRI","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","DNK","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","ECU","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","ESP","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","FRA","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","GBR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","GRC","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","NOR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","TUR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"COL","Colombia","VNM","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","AUS","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CHL","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CHN","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","CRI","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","DNK","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","ECU","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","ESP","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","FRA","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","GBR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","GRC","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","NOR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","TUR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"ECU","Ecuador","VNM","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","AUS","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CHL","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CHN","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","CRI","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","DNK","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","ECU","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","ESP","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","FRA","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","GBR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","GRC","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","NOR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","TUR","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"PER","Peru","VNM","cetengraulis mysticetus","pacific anchoveta","yes","yes",0.11,"biomar","Anchovy"
"BEL","Belgium","AUS","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","CHL","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","CHN","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","CRI","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","DNK","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","ECU","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","ESP","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","FRA","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","GBR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","GRC","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","NOR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","TUR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"BEL","Belgium","VNM","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","AUS","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","CHL","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","CHN","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","CRI","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","DNK","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","ECU","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","ESP","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","FRA","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","GBR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","GRC","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","NOR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","TUR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"DNK","Denmark","VNM","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","AUS","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","CHL","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","CHN","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","CRI","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","DNK","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","ECU","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","ESP","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","FRA","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
"EST","Estonia","GBR","clupea harengus","atlantic herring","yes","yes",0.78,"biomar","Atlantic Herring"
