"sciname","common_name","country","wholefish","trimmings","trim_prop","trimmings_tonnes","wholefish_tonnes","data_source_feed","data_source_fao_area_country","feed_report_spp_name","iso3c","importer_iso3c"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","IND"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","MEX"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","NOR"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","THA"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","USA"
"","Miscellaneous species","U.S.","no","yes",1,1106.82049,0,"cargill",NA,"Miscellaneous species","USA","VNM"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","AUT"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","CAN"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","CHL"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","CHN"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","ECU"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","GBR"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","IND"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","MEX"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","NOR"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","THA"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","USA"
"","Mixed fish","Thailand","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","THA","VNM"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","AUT"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","CAN"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","CHL"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","CHN"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","ECU"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","GBR"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","IND"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","MEX"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","NOR"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","THA"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","USA"
"","Mixed fish","Vietnam","no","yes",1,2062.111984,0,"cargill",NA,"Mixed fish","VNM","VNM"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","AUT"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","CAN"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","CHL"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","CHN"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","ECU"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","GBR"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","IND"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","MEX"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","NOR"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","THA"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","USA"
"Ammodytes sp.","Sandeel","Denmark","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","DNK","VNM"
"Ammodytes sp.","Sandeel","Norway","yes","no",0,0,7240.338634,"cargill",NA,"Sandeel","NOR","AUT"
