"country","sciname","aquaculture","trim_prop","factory_id","common_name","wholefish","trimmings","data_source_feed","data_source_fao_area_country","feed_report_spp_name","trash_fish","capture","source_country_iso3c"
"Chile","engraulis ringens","no",0.0476190476190476,25,"anchoveta","yes","no","Shea et al. 2025",NA,"anchoveta","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,26,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,27,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,28,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,29,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,30,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,32,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,33,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,34,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,37,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,38,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,39,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,43,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,44,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,46,"anchoveta","yes","no","Shea et al. 2025",NA,"anchoveta","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,47,"anchoveta","yes","no","Shea et al. 2025",NA,"anchoveta","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,48,"anchoveta","yes","no","Shea et al. 2025",NA,"anchoveta","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,54,"anchovy","no","yes","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,54,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,55,"chilean anchovy","yes","no","Shea et al. 2025",NA,"chilean anchovy","no","yes","CHL"
"Chile","engraulis ringens","no",0.0476190476190476,56,"anchovy","yes","no","Shea et al. 2025",NA,"anchovy","no","yes","CHL"
"Chile","euphausia superba","no",0,45,"antarctic krill","yes","no","Shea et al. 2025",NA,"krill","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,46,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,47,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,48,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,46,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,47,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","no",1,48,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","yes","CHL"
"Chile","oncorhynchus kisutch","yes",1,57,"coho(=silver) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,37,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,38,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,39,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,41,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,46,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,47,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,48,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,37,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,38,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,39,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,41,"coho salmon","no","yes","Shea et al. 2025",NA,"coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,46,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,47,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus kisutch","yes",1,48,"chile coho salmon","no","yes","Shea et al. 2025",NA,"chile coho salmon","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,36,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,37,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,38,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,39,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,41,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,46,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,47,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,48,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,36,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,37,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,38,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,39,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,41,"rainbow trout","no","yes","Shea et al. 2025",NA,"rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,46,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,47,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus mykiss","yes",1,48,"chile rainbow trout","no","yes","Shea et al. 2025",NA,"chile rainbow trout","no","no","CHL"
"Chile","oncorhynchus nerka","no",1,46,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus nerka","no",1,47,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus nerka","no",1,48,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus nerka","no",1,46,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus nerka","no",1,47,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus nerka","no",1,48,"sockeye salmon","no","yes","Shea et al. 2025",NA,"sockeye salmon","no","yes","CHL"
"Chile","oncorhynchus tshawytscha","yes",1,57,"chinook(=spring=king) salmon","no","yes","Shea et al. 2025",NA,"salmon","no","no","CHL"
"Chile","salmo salar","yes",1,57,"atlantic salmon","no","yes","Shea et al. 2025",NA,"salmon","no","no","CHL"
"Chile","salmo salar","yes",1,37,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,38,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
"Chile","salmo salar","yes",1,39,"atlantic salmon","no","yes","Shea et al. 2025",NA,"atlantic salmon","no","no","CHL"
