factory_id,country,lat,long,company,data_type,material_type,material_type_simple,comm_name,sci_name,func_group,source,website,date
369,Peru,-12.0157,-77.1361,C & H Fish  S.A.C.,A,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
370,Peru,-9.1194,-78.5506,Cmm Products S.A.C.,A,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
371,Peru,-5.087,-81.1003,Cnc S.A.C.,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
372,Peru,-9.1462,-78.4993,Conservera San Lucas Sociedad Anonima Cerrada - Conservera San Lucas S.A.C.,B,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
373,Peru,-9.056,-78.577,Corporacion Industrial Milagros Del Mar S.A.,C,whole,whole,Anchoveta,Engraulis ringens,Small pelagics (<30 cm),Personal contact,NA,May-24
374,Peru,-9.0561,-78.5767,Corporacion Marqueza S.A.C.,B,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
375,Peru,-5.5555,-80.8179,Corporacion Pesquera Coishco S.A.,B,whole,whole,Anchoveta,Engraulis ringens,Small pelagics (<30 cm),Personal contact,NA,May-24
376,Peru,-5.0852,-81.0856,Dexim Srl,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
377,Peru,-9.1107,-78.5598,Don Fernando Sac,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
378,Peru,-9.1159,-78.5367,Don Raul S.A.C.,B,whole,whole,Anchoveta,Engraulis ringens,Small pelagics (<30 cm),Personal contact,NA,May-24
379,Peru,-5.0852,-81.0856,Eco Proyec Peru S.A.C.,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
380,Peru,-5.5551,-80.8169,Econort Group Sociedad Anonima Cerrada - Econort Group S.A.C.,B,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
381,Peru,-9.0722,-78.5861,Empresa Pesquera Gamma S.A.,B,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
382,Peru,-8.138,-79.0272,Fishpro Nor Peru S.A.C.,B,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
383,Peru,-9.1547,-78.5018,Group Corporation Reye'S S.A.C.,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
384,Peru,-8.3762,-74.5335,Industria Atunera S.A.C.,C,fishery by-products,by-products,NA,NA,NA,Personal contact,NA,May-24
